name,url
PENNSYLVANIA,http://www.law.upenn.edu/
PENNSYLVANIA STATE-DICKINSON LAW,https://dickinsonlaw.psu.edu/
PENNSYLVANIA STATE-PENN STATE LAW,http://pennstatelaw.psu.edu/
PEPPERDINE,http://law.pepperdine.edu/
PITTSBURGH,http://www.law.pitt.edu/
PONTIFICAL CATHOLIC OF PUERTO RICO,http://www.pucpr.edu/
PUERTO RICO,http://www.law.upr.edu
QUINNIPIAC,http://law.quinnipiac.edu
REGENT,http://www.regent.edu/acad/schlaw
RICHMOND,http://law.richmond.edu/
ROGER WILLIAMS,http://law.rwu.edu/
RUTGERS,http://law.rutgers.edu/
ST. JOHN'S,http://www.stjohns.edu/law
SAINT LOUIS,http://law.slu.edu/
ST. MARY'S,http://www.stmarytx.edu/law
ST. THOMAS (FLORIDA),http://www.stu.edu/
ST. THOMAS (MINNESOTA),http://www.stthomas.edu/law/
SAMFORD,http://cumberland.samford.edu/
SAN DIEGO,http://www.sandiego.edu/law/
SAN FRANCISCO,http://www.usfca.edu/law
SANTA CLARA,http://www.scu.edu/law
SEATTLE,http://www.law.seattleu.edu/
SETON HALL,http://law.shu.edu/
SOUTH CAROLINA,http://www.law.sc.edu/
SOUTH DAKOTA,http://www.usd.edu/law
SOUTH TEXAS-HOUSTON,http://www.stcl.edu/
SOUTHERN UNIVERSITY,http://www.sulc.edu/
SOUTHERN CALIFORNIA,http://www.usc.edu/dept/law-lib/index.html
SOUTHERN ILLINOIS,http://www.law.siu.edu/
SOUTHERN METHODIST,http://www.law.smu.edu/
SOUTHWESTERN,http://www.swlaw.edu/
STANFORD,http://www.law.stanford.edu/
STATE UNIVERSITY OF NEW YORK-BUFFALO,http://www.buffalo.edu/law/
STETSON,http://www.law.stetson.edu/
SUFFOLK,http://www.law.suffolk.edu/
SYRACUSE,http://www.law.syr.edu/
TEMPLE,http://www.law.temple.edu/
TENNESSEE,http://www.law.utk.edu/
TEXAS,http://www.utexas.edu/law/
TEXAS A&M,http://law.tamu.edu/
TEXAS SOUTHERN,http://www.tsulaw.edu/
TEXAS TECH,http://www.law.ttu.edu/
THOMAS JEFFERSON,http://www.tjsl.edu/
THOMAS M. COOLEY,http://www.cooley.edu/
TOLEDO,http://law.utoledo.edu/
TOURO,http://www.tourolaw.edu/
TULANE,http://www.law.tulane.edu/
TULSA,http://www.utulsa.edu/law/
UNT DALLAS,https://lawschool.untsystem.edu/
UTAH,http://www.law.utah.edu/
VALPARAISO,http://www.valpo.edu/law
VANDERBILT,http://www.vanderbilt.edu/Law/
VERMONT,http://www.vermontlaw.edu/
VILLANOVA,http://www.law.villanova.edu/
VIRGINIA,http://www.law.virginia.edu/
WAKE FOREST,http://www.law.wfu.edu/
WASHBURN,http://washburnlaw.edu/
WASHINGTON AND LEE,http://www.law.wlu.edu/
WASHINGTON,http://www.law.washington.edu/
WASHINGTON UNIVERSITY,http://law.wustl.edu/
WAYNE STATE,http://www.law.wayne.edu/
WESTERN NEW ENGLAND,http://www1.law.wne.edu
WESTERN STATE,http://www.wsulaw.edu/
WEST VIRGINIA,http://www.wvu.edu/~law/
WHITTIER,http://www.law.whittier.edu/
WIDENER-DELAWARE,http://delawarelaw.widener.edu/
WIDENER-COMMONWEALTH,http://commonwealthlaw.widener.edu/
WILLAMETTE,http://www.willamette.edu/wucl
WILLIAM AND MARY,http://law.wm.edu
WISCONSIN,http://www.law.wisc.edu/
WYOMING,http://uwadmnweb.uwyo.edu/Law/
YALE,http://www.law.yale.edu/
